# frequency, hf_mean, hf_min, hf_max
0.95492E-06 0.60846E-25 0.15686E-26 0.14003E-24
0.97717E-06 0.61787E-25 0.15928E-26 0.14220E-24
0.99994E-06 0.62743E-25 0.16175E-26 0.14440E-24
0.10232E-05 0.63714E-25 0.16425E-26 0.14663E-24
0.10471E-05 0.64700E-25 0.16679E-26 0.14890E-24
0.10715E-05 0.65701E-25 0.16937E-26 0.15121E-24
0.10964E-05 0.66718E-25 0.17199E-26 0.15355E-24
0.11220E-05 0.67750E-25 0.17466E-26 0.15592E-24
0.11481E-05 0.68799E-25 0.17736E-26 0.15834E-24
0.11749E-05 0.69863E-25 0.18010E-26 0.16079E-24
0.12023E-05 0.70944E-25 0.18289E-26 0.16327E-24
0.12303E-05 0.72042E-25 0.18572E-26 0.16580E-24
0.12589E-05 0.73157E-25 0.18859E-26 0.16837E-24
0.12883E-05 0.74289E-25 0.19151E-26 0.17097E-24
0.13183E-05 0.75438E-25 0.19447E-26 0.17362E-24
0.13490E-05 0.76606E-25 0.19748E-26 0.17630E-24
0.13804E-05 0.77791E-25 0.20054E-26 0.17903E-24
0.14126E-05 0.78995E-25 0.20364E-26 0.18180E-24
0.14455E-05 0.80217E-25 0.20679E-26 0.18461E-24
0.14792E-05 0.81458E-25 0.20999E-26 0.18747E-24
0.15137E-05 0.82719E-25 0.21324E-26 0.19037E-24
0.15489E-05 0.83999E-25 0.21654E-26 0.19332E-24
0.15850E-05 0.85298E-25 0.21989E-26 0.19631E-24
0.16219E-05 0.86618E-25 0.22330E-26 0.19935E-24
0.16597E-05 0.87959E-25 0.22675E-26 0.20243E-24
0.16984E-05 0.89320E-25 0.23026E-26 0.20556E-24
0.17380E-05 0.90702E-25 0.23382E-26 0.20874E-24
0.17785E-05 0.92105E-25 0.23744E-26 0.21197E-24
0.18199E-05 0.93530E-25 0.24112E-26 0.21526E-24
0.18623E-05 0.94978E-25 0.24485E-26 0.21859E-24
0.19057E-05 0.96447E-25 0.24863E-26 0.22197E-24
0.19501E-05 0.97940E-25 0.25248E-26 0.22540E-24
0.19956E-05 0.99455E-25 0.25639E-26 0.22889E-24
0.20421E-05 0.10099E-24 0.26036E-26 0.23243E-24
0.20896E-05 0.10256E-24 0.26438E-26 0.23603E-24
0.21383E-05 0.10414E-24 0.26848E-26 0.23968E-24
0.21881E-05 0.10576E-24 0.27263E-26 0.24339E-24
0.22391E-05 0.10739E-24 0.27685E-26 0.24716E-24
0.22913E-05 0.10905E-24 0.28113E-26 0.25098E-24
0.23447E-05 0.11074E-24 0.28548E-26 0.25486E-24
0.23993E-05 0.11245E-24 0.28990E-26 0.25881E-24
0.24552E-05 0.11419E-24 0.29439E-26 0.26281E-24
0.25124E-05 0.11596E-24 0.29894E-26 0.26688E-24
0.25710E-05 0.11776E-24 0.30357E-26 0.27101E-24
0.26309E-05 0.11958E-24 0.30826E-26 0.27520E-24
0.26922E-05 0.12143E-24 0.31303E-26 0.27946E-24
0.27549E-05 0.12331E-24 0.31788E-26 0.28378E-24
0.28191E-05 0.12522E-24 0.32280E-26 0.28818E-24
0.28848E-05 0.12715E-24 0.32779E-26 0.29264E-24
0.29520E-05 0.12912E-24 0.33286E-26 0.29716E-24
0.30208E-05 0.13112E-24 0.33801E-26 0.30176E-24
0.30911E-05 0.13315E-24 0.34324E-26 0.30643E-24
