# frequency, hf_mean, hf_min, hf_max
 0.027    116 0 0
0.97650E-07 0.58629E-23 0.45376E-24 0.37829E-22
0.99926E-07 0.59536E-23 0.46078E-24 0.38414E-22
0.10225E-06 0.60457E-23 0.46791E-24 0.39008E-22
0.10464E-06 0.61393E-23 0.47515E-24 0.39612E-22
0.10707E-06 0.62343E-23 0.48250E-24 0.40225E-22
0.10957E-06 0.63307E-23 0.48997E-24 0.40847E-22
0.11212E-06 0.64287E-23 0.49755E-24 0.41479E-22
0.11473E-06 0.65282E-23 0.50525E-24 0.42121E-22
0.11741E-06 0.66292E-23 0.51307E-24 0.42773E-22
0.12014E-06 0.67318E-23 0.52100E-24 0.43435E-22
0.12294E-06 0.68359E-23 0.52907E-24 0.44107E-22
0.12581E-06 0.69417E-23 0.53725E-24 0.44789E-22
0.12874E-06 0.70491E-23 0.54557E-24 0.45482E-22
0.13174E-06 0.71582E-23 0.55401E-24 0.46186E-22
0.13481E-06 0.72690E-23 0.56258E-24 0.46901E-22
0.13795E-06 0.73814E-23 0.57129E-24 0.47627E-22
0.14116E-06 0.74957E-23 0.58013E-24 0.48364E-22
0.14445E-06 0.76116E-23 0.58910E-24 0.49112E-22
0.14782E-06 0.77294E-23 0.59822E-24 0.49872E-22
0.15126E-06 0.78490E-23 0.60747E-24 0.50643E-22
0.15479E-06 0.79705E-23 0.61687E-24 0.51427E-22
0.15839E-06 0.80938E-23 0.62642E-24 0.52223E-22
0.16208E-06 0.82190E-23 0.63611E-24 0.53031E-22
0.16586E-06 0.83462E-23 0.64596E-24 0.53852E-22
0.16972E-06 0.84754E-23 0.65595E-24 0.54685E-22
0.17368E-06 0.86065E-23 0.66610E-24 0.55531E-22
0.17773E-06 0.87397E-23 0.67641E-24 0.56390E-22
0.18187E-06 0.88749E-23 0.68687E-24 0.57263E-22
0.18610E-06 0.90123E-23 0.69750E-24 0.58149E-22
0.19044E-06 0.91517E-23 0.70830E-24 0.59049E-22
0.19488E-06 0.92933E-23 0.71926E-24 0.59962E-22
0.19942E-06 0.94371E-23 0.73038E-24 0.60890E-22
0.20407E-06 0.95831E-23 0.74169E-24 0.61832E-22
0.20882E-06 0.97314E-23 0.75316E-24 0.62789E-22
0.21369E-06 0.98820E-23 0.76482E-24 0.63761E-22
0.21866E-06 0.10035E-22 0.77665E-24 0.64747E-22
0.22376E-06 0.10190E-22 0.78867E-24 0.65749E-22
0.22897E-06 0.10348E-22 0.80087E-24 0.66767E-22
0.23431E-06 0.10508E-22 0.81327E-24 0.67800E-22
0.23977E-06 0.10671E-22 0.82585E-24 0.68849E-22
0.24535E-06 0.10836E-22 0.83863E-24 0.69914E-22
0.25107E-06 0.11003E-22 0.85161E-24 0.70996E-22
0.25692E-06 0.11174E-22 0.86478E-24 0.72095E-22
0.26291E-06 0.11347E-22 0.87816E-24 0.73210E-22
0.26903E-06 0.11522E-22 0.89175E-24 0.74343E-22
0.27530E-06 0.11700E-22 0.90555E-24 0.75493E-22
0.28172E-06 0.11881E-22 0.91956E-24 0.76661E-22
0.28828E-06 0.12065E-22 0.93379E-24 0.77848E-22
0.29500E-06 0.12252E-22 0.94824E-24 0.79052E-22
0.30187E-06 0.12442E-22 0.96291E-24 0.80276E-22
0.30890E-06 0.12634E-22 0.97781E-24 0.81518E-22
0.31610E-06 0.12830E-22 0.99294E-24 0.82779E-22
0.32347E-06 0.13028E-22 0.10083E-23 0.84060E-22
0.33100E-06 0.13230E-22 0.10239E-23 0.85361E-22
0.33872E-06 0.13434E-22 0.10398E-23 0.86682E-22
0.34661E-06 0.13642E-22 0.10558E-23 0.88023E-22
0.35468E-06 0.13853E-22 0.10722E-23 0.89385E-22
0.36295E-06 0.14068E-22 0.10888E-23 0.90768E-22
0.37140E-06 0.14285E-22 0.11056E-23 0.92172E-22
0.38006E-06 0.14506E-22 0.11227E-23 0.93599E-22
0.38891E-06 0.14731E-22 0.11401E-23 0.95047E-22
0.39797E-06 0.14959E-22 0.11577E-23 0.96518E-22
0.40725E-06 0.15190E-22 0.11757E-23 0.98011E-22
0.41674E-06 0.15425E-22 0.11938E-23 0.99528E-22
0.42645E-06 0.15664E-22 0.12123E-23 0.10107E-21
0.43638E-06 0.15906E-22 0.12311E-23 0.10263E-21
0.44655E-06 0.16153E-22 0.12501E-23 0.10422E-21
0.45695E-06 0.16403E-22 0.12695E-23 0.10583E-21
0.46760E-06 0.16656E-22 0.12891E-23 0.10747E-21
0.47850E-06 0.16914E-22 0.13091E-23 0.10913E-21
0.48965E-06 0.17176E-22 0.13293E-23 0.11082E-21
0.50105E-06 0.17442E-22 0.13499E-23 0.11254E-21
0.51273E-06 0.17711E-22 0.13708E-23 0.11428E-21
0.52468E-06 0.17985E-22 0.13920E-23 0.11605E-21
0.53690E-06 0.18264E-22 0.14135E-23 0.11784E-21
0.54941E-06 0.18546E-22 0.14354E-23 0.11967E-21
0.56221E-06 0.18833E-22 0.14576E-23 0.12152E-21
0.57531E-06 0.19125E-22 0.14802E-23 0.12340E-21
0.58872E-06 0.19421E-22 0.15031E-23 0.12531E-21
0.60243E-06 0.19721E-22 0.15263E-23 0.12725E-21
0.61647E-06 0.20026E-22 0.15499E-23 0.12921E-21
0.63083E-06 0.20336E-22 0.15739E-23 0.13121E-21
0.64553E-06 0.20651E-22 0.15983E-23 0.13324E-21
0.66057E-06 0.20971E-22 0.16230E-23 0.13531E-21
0.67596E-06 0.21295E-22 0.16481E-23 0.13740E-21
0.69171E-06 0.21625E-22 0.16736E-23 0.13953E-21
0.70783E-06 0.21959E-22 0.16995E-23 0.14168E-21
0.72432E-06 0.22299E-22 0.17258E-23 0.14388E-21
0.74120E-06 0.22644E-22 0.17525E-23 0.14610E-21
0.75847E-06 0.22994E-22 0.17796E-23 0.14836E-21
0.77614E-06 0.23350E-22 0.18072E-23 0.15066E-21
0.79423E-06 0.23711E-22 0.18351E-23 0.15299E-21
0.81273E-06 0.24078E-22 0.18635E-23 0.15536E-21
0.83167E-06 0.24451E-22 0.18924E-23 0.15776E-21
0.85105E-06 0.24829E-22 0.19217E-23 0.16020E-21
0.87088E-06 0.25213E-22 0.19514E-23 0.16268E-21
0.89117E-06 0.25604E-22 0.19816E-23 0.16520E-21
0.91193E-06 0.26000E-22 0.20123E-23 0.16776E-21
0.93318E-06 0.26402E-22 0.20434E-23 0.17035E-21
0.95492E-06 0.26811E-22 0.20750E-23 0.17299E-21
0.97717E-06 0.27226E-22 0.21071E-23 0.17566E-21
0.99994E-06 0.27647E-22 0.21397E-23 0.17838E-21
0.10232E-05 0.28075E-22 0.21728E-23 0.18114E-21
0.10471E-05 0.28509E-22 0.22065E-23 0.18395E-21
0.10715E-05 0.28950E-22 0.22406E-23 0.18679E-21
0.10964E-05 0.29398E-22 0.22753E-23 0.18968E-21
0.11220E-05 0.29853E-22 0.23105E-23 0.19262E-21
0.11481E-05 0.30315E-22 0.23462E-23 0.19560E-21
0.11749E-05 0.30784E-22 0.23825E-23 0.19862E-21
0.12023E-05 0.31260E-22 0.24194E-23 0.20170E-21
0.12303E-05 0.31744E-22 0.24568E-23 0.20482E-21
0.12589E-05 0.32235E-22 0.24948E-23 0.20799E-21
0.12883E-05 0.32734E-22 0.25335E-23 0.21121E-21
0.13183E-05 0.33241E-22 0.25727E-23 0.21447E-21
0.13490E-05 0.33755E-22 0.26125E-23 0.21779E-21
0.13804E-05 0.34277E-22 0.26529E-23 0.22116E-21
0.14126E-05 0.34808E-22 0.26939E-23 0.22459E-21
0.14455E-05 0.35346E-22 0.27356E-23 0.22806E-21
0.14792E-05 0.35893E-22 0.27779E-23 0.23159E-21
0.15137E-05 0.36449E-22 0.28209E-23 0.23517E-21
0.15489E-05 0.37013E-22 0.28646E-23 0.23881E-21
0.15850E-05 0.37585E-22 0.29089E-23 0.24251E-21
0.16219E-05 0.38167E-22 0.29539E-23 0.24626E-21
0.16597E-05 0.38757E-22 0.29996E-23 0.25007E-21
0.16984E-05 0.39357E-22 0.30460E-23 0.25394E-21
0.17380E-05 0.39966E-22 0.30932E-23 0.25787E-21
0.17785E-05 0.40585E-22 0.31410E-23 0.26186E-21
0.18199E-05 0.41213E-22 0.31896E-23 0.26591E-21
0.18623E-05 0.41850E-22 0.32390E-23 0.27003E-21
0.19057E-05 0.42498E-22 0.32891E-23 0.27420E-21
0.19501E-05 0.43155E-22 0.33400E-23 0.27845E-21
0.19956E-05 0.43823E-22 0.33917E-23 0.28276E-21
0.20421E-05 0.44501E-22 0.34442E-23 0.28713E-21
0.20896E-05 0.45190E-22 0.34975E-23 0.29157E-21
0.21383E-05 0.45889E-22 0.35516E-23 0.29609E-21
0.21881E-05 0.46599E-22 0.36065E-23 0.30067E-21
0.22391E-05 0.47320E-22 0.36624E-23 0.30532E-21
0.22913E-05 0.48053E-22 0.37190E-23 0.31004E-21
0.23447E-05 0.48796E-22 0.37766E-23 0.31484E-21
0.23993E-05 0.49551E-22 0.38350E-23 0.31971E-21
0.24552E-05 0.50318E-22 0.38943E-23 0.32466E-21
